Community_Unit,School_ID,Name,O_level_students,A_level_students,Boarding_students,Day_students,Boarding_fee_for_S3,Day_fee_for_S3,Boarding_fee_S5,Day_fee_S5,Female_students,Male_students,Number_of_students,Number_of _teachers,Location,Date_school_enrolled
Makindye,97330,St. Mary's College Kisubi,1,1,1,,900000,,900000,,,1,140,45,Urban,2017-09-17
Makindye,51331,Trinity Senior Academy,1,1,1,,600000,,600000,,1,1,70,,Urban,2016-03-14
Tororo,91332,Tororo Girls' School,1,1,1,,595600,,625600,,1,,112,16,Peri-Urban,2011-03-24
Jinja 2,23333,"PMM Girls' School, Jinja",1,1,1,1,650000,230000,650000,230000,1,,250,14,Urban,2010-04-09
Lira,51334,Lira Town College,1,1,1,1,290000,250000,290000,250000,1,1,250,30,Urban,2011-10-09
Lira,90335,"Dr Obote College, Boroboro",1,1,1,,400000,,400000,,1,1,160,45,Rural,2009-02-21
Lira,84336,"Comboni College, Lira",1,1,1,,350000,,400000,,,1,39,30,Peri-Urban,2010-12-07
Lira,43338,Leo Atubo Secondary School,1,1,1,,380000,,335000,,1,1,24,14,Rural,2017-05-06
Lira,29339,Townside High School,1,,1,,399000,,,,1,1,47,12,Rural,2009-04-10
Lira,51340,"The Vision High School, Lira",1,,1,,232000,,,,1,1,46,15,Rural,2011-01-17
Lira,20341,DJRA Comprehesive Secondary School,1,,1,,280000,,,,1,1,52,18,Peri-Urban,2016-10-08
Mukono,18342,"St. Balikuddembe Secondary School, Kisoga",1,1,1,1,,,560000,299000,1,1,50,28,Rural,2011-05-19
Luwero,34343,Wakyato Seed Secondary School,1,,,1,,,,,1,1,,,Rural,2014-12-16
Lira,36345,Bright Light College,1,,1,,232000,,,,1,1,46,15,Rural,2014-10-18
Jinja 1,15346,"St. Peter's Secondary School, Magwa",1,1,1,1,335000,125000,335000,125000,1,1,115,15,Urban,2010-05-14
Kawempe-Nakawa,41347,Namugongo Secondary and Vocational School,,,,,,,,,,,,,,2017-01-12
Kawempe-Nakawa,20348,Kawanda Secondary School,,,,,,,,,,,,,,2012-04-09
Lugazi,40349,"Green Hill College, Mukono",,,,,,,,,,,,,,2016-09-05
Kapchorwa-Mbale,64350,Joy Secondary School,,,,,,,,,,,,,,2016-11-05
Jinja 2,27351,Jinja Secondary School,1,1,1,1,,,,150000,1,1,,,Rural,2014-01-14
Tororo,47352,Tororo Town College,,,,,,,,,,,,,,2014-01-03
Soroti,85353,Gweri Secondary School,,,,,,,,,,,,,,2010-11-17
Arua 1,13354,Arua Secondary School,,,,,,,,,,,,,,2012-02-20
Arua 2,92355,Standard College Arua,,,,,,,,,,,,,,2012-12-13
Gulu,81356,Ushindi Secondary School,,,,,,,,,,,,,,2015-11-08
Kitgum-Pader,55357,Kitgum High School,,,,,,,,,,,,,,2010-12-22
Kole-Oyam,65358,Aboke High School,,,,,,,,,,,,,,2014-02-22
